S. No,offer_id,reward_id,label_in_english,total_payout_in_paise,total_revenue_in_paise
807,916,1065,Additional Task,250,0
808,922,1071,Complete Registration,120,0
809,1128,1298,Complete Registration,10000,0
810,1129,1300,Additional Task,2000,0
811,1185,1367,Download ,200,0
812,1186,1368,Complete Install,300,0
813,1187,1369,Download ,600,0
814,1187,1370,Additional Task,0,0
815,1188,1371,Download ,600,0
816,1189,1373,Download,250,0
817,1190,1374,Cashback on first gameplay,900,0
818,1191,1375,Complete Install,500,0
819,1192,1376,Complete Registration.,300,0
820,1193,1377,Download.,150,0
821,1194,1378,Install,236,0
822,1195,1379,Download.,200,0
823,1196,1380,Download ,200,0
824,1197,1382,Register,307,0
825,1198,1383,Download.,50,0
826,1202,1387,Install,300,0
827,2986,3218,Additional Task,200,0
828,1204,1389,Complete Registration,300,0
829,1205,1390,Complete Install,300,0
830,344,419,Download ,150,0
831,439,533,Complete Registration,300,0
832,466,572,Bonus Video Reward,800,0
833,923,1072,Download.,200,0
834,924,1073,Complete Registration,300,0
835,925,1074,Complete Registration.,500,0
836,926,1075,Generate your Photo Card.,400,0
837,927,1076,Open Account,6000,0
838,928,1077,Complete Registration,350,0
839,929,1078,Download.,200,0
840,930,1079,Complete Registration,300,0
841,931,1080,KYC completion.,6000,0
842,918,1067,Complete Registration,300,0
843,932,1081,Complete Registration.,600,0
844,933,1082,Complete Registration.,600,0
845,934,1083,Complete Registration.,300,0
846,935,1084,Play first game.,240,0
847,936,1085,Download,120,0
848,937,1086,KYC completion.,6000,0
849,938,1087,Complete Registration.,500,0
850,939,1088,OTP Verification,52,0
851,940,1089,Account Open,6000,0
852,941,1090,Complete Registration,1000,0
853,942,1091,Join a challenge ,200,0
854,943,1092,Complete Registration,200,0
855,944,1095,Additional Task,600,0
856,945,1096,Open Account,6000,0
857,946,1097,Download,200,0
858,977,1130,Download,200,0
859,947,1099,Complete Registration,500,0
860,949,1101,Download,200,0
861,948,1100,Join a challenge ,300,0
862,950,1102,Open Account,700,0
863,344,420,Additional Task,600,0
864,345,421,Download ,150,0
865,348,427,Download ,500,0
866,467,573,Get Cashback on Class joining.,1000,0
867,440,534,Complete Registration,400,0
868,943,1093,Additional Task,500,0
869,944,1094,Complete Registration,200,0
870,946,1098,Additional Task,200,0
871,951,1103,Complete Registration,300,0
872,1130,1301,Download.,30,0
873,1131,1303,Download.,30,0
874,1132,1305,Open Account,5000,0
875,1133,1306,Complete Registration,3000,0
876,1135,1308,Complete Registration,4000,0
877,1136,1309,Complete Registration.,300,0
878,1137,1310,Open Account,5000,0
879,1138,1311,Download.,280,0
880,1139,1312,Open Account,3500,0
881,1134,1307,Rank top #3,450000,0
882,1141,1314,Download.,30,0
883,1142,1316,Cashback on first gameplay,450,0
884,1143,1317,Complete Registration,500,0
885,1144,1318,Complete Registration.,600,0
886,1145,1319,Open Account,5000,0
887,1146,1320,Download.,30,0
888,1147,1322,Download.,30,0
889,1148,1323,Complete Registration.,500,0
890,1150,1325,Complete Registration.,700,0
891,1151,1326,Complete Registration,700,0
892,1152,1328,Complete Registration.,600,0
893,1153,1329,Download ,300,0
894,1154,1331,Complete Registration,300,0
895,1155,1332,Download.,40,0
896,1157,1336,Complete Install,300,0
897,1188,1372,Additional Task,0,0
898,345,422,Additional Task,600,0
899,346,423,Download ,150,0
900,346,424,Additional Task,600,0
901,350,430,Register on APK,700,0
902,353,433,Complete Registration,700,0
903,441,535,Complete Registration,700,0
904,468,574,Get Cashback on Free Class,1500,0
905,952,1104,Account Open,300,0
906,953,1105,Open Account,6500,0
907,954,1106,Download.,100,0
908,955,1107,Complete Registration.,200,0
909,956,1108,Download.,200,0
910,957,1109,Complete Registration.,300,0
911,958,1110,Open Account,5500,0
912,959,1111,Cashback on first gameplay,1000,0
913,960,1112,Install APK,300,0
914,963,1116,Open Account,5500,0
915,964,1117,Complete Registration,800,0
916,965,1118,Download.,400,0
917,966,1119,Complete KYC,6000,0
918,967,1120,Complete Registration.,900,0
919,968,1121,Complete Registration.,900,0
920,969,1122,Complete Registration.,900,0
921,970,1123,Complete Registration.,900,0
922,971,1124,Download.,50,0
923,972,1125,Download.,50,0
924,974,1127,Complete Registration.,300,0
925,975,1128,Complete Registration,300,0
926,976,1129,Watch Video,200,0
927,978,1132,Download.,200,0
928,979,1133,Complete Registration,300,0
929,980,1134,Complete Registration,300,0
930,981,1135,Cashback on first gameplay,1000,0
931,982,1136,Download.,200,0
932,442,536,Complete Registration,5500,0
933,347,425,Complete Registration,300,0
934,347,426,Additional Task,250,0
935,352,432,Complete Registration,700,0
936,355,435,Complete Registration,800,0
937,469,575,Get Cashback for Account Open.,10000,0
938,960,1113,Additional Task,1000,0
939,961,1114,KYC Completion.,500,0
940,962,1115,Download,200,0
941,973,1126,Download.,50,0
942,983,1137,Complete Registration.,600,0
943,977,1131,Additional Task,1400,0
944,1130,1302,Additional Task,20,0
945,1131,1304,Additional Task,40,0
946,1140,1313,Open Account,4500,0
947,1141,1315,Additional Task,40,0
948,1146,1321,Additional Task,40,0
949,1149,1324,Complete Registration.,300,0
950,1151,1327,Additional Task,1200,0
951,1153,1330,Additional Task,1750,0
952,1155,1333,Additional Task,50,0
953,1158,1337,Open Account,4500,0
954,1196,1381,Additional Task,1200,0
955,1199,1384,Complete Registration,614,0
956,1201,1386,Download.,50,0
957,443,537,Complete Registration,400,0
958,348,428,Additional Task,300,0
959,349,429,Register on APK,600,0
960,351,431,Complete Registration,70,0
961,470,576,Get cashback on Complete KYC,20000,0
962,984,1138,Complete Registration.,500,0
963,103,132,Additional Task,1300,0
964,985,1139,Complete Registration.,400,0
965,986,1140,Join a challenge ,200,0
966,987,1142,Complete Registration.,600,0
967,988,1143,Complete Registration.,300,0
968,989,1144,Complete Registration.,500,0
969,990,1145,Complete Registration.,400,0
970,991,1146,Download.,50,0
971,992,1147,Open Account,5500,0
972,993,1148,Open Account,5500,0
973,994,1149,Download.,200,0
974,995,1150,Deposit and Play,500,0
975,996,1151,Complete Registration.,500,0
976,997,1152,Complete Registration.,300,0
977,998,1153,Download,210,0
978,999,1154,Register on the app,350,0
979,1000,1156,KYC Completion.,700,0
980,1001,1157,Download.,150,0
981,1002,1158,Complete Registration.,500,0
982,1003,1159,Register,150,0
983,1004,1160,Complete Registration.,300,0
984,788,930,Make a Purchase,300,0
985,1005,1161,Download.,250,0
986,1006,1162,Download,100,0
987,1006,1163,Additional Task,0,0
988,1007,1164,Open Account,6000,0
989,1008,1165,Open Account,5000,0
990,1156,1334,Download.,40,0
991,444,538,Download,200,0
992,356,436,Complete Registration,400,0
993,354,434,Complete Registration,800,0
994,471,577,Complete Registration,1000,0
995,986,1141,Additional Task,700,0
996,1009,1166,Complete Registration,300,0
997,1012,1169,Complete Registration,300,0
998,999,1155,Additional Reward,0,0
999,1156,1335,Additional Task,50,0
1000,1159,1338,Play and have Fun,30,0
1001,1200,1385,Register,543,0
1002,445,539,Complete Registration,500,0
1003,471,578,Additional Reward,350,0
1004,1010,1167,Complete Registration.,1000,0
1005,1011,1168,Account Open,6000,0
1006,1013,1170,Complete Registration.,450,0
1007,1014,1171,Complete Registration.,400,0
1008,1015,1172,Complete Registration,300,0
1009,1016,1173,Complete Registration,200,0
1010,1017,1175,Complete Registration.,200,0
1011,1018,1177,Additional Task,350,0
1012,1019,1179,Additional Task,1300,0
1013,1018,1176,Complete Registration,200,0
1014,1160,1339,Cricket Quiz,30,0
1015,3,4,Additional Reward,1000,0
1016,7,8,Install App,300,0
1017,8,9,Install App,300,0
1018,8,10,Additional Reward,500,0
1019,10,13,Install App,800,0
1020,11,14,Install APK,500,0
1021,13,16,Install APK ,500,0
1022,14,17,Install APK,500,0
1023,16,19,Install App,300,0
1024,17,20,Install APK,400,0
1025,19,22,Install App,300,0
1026,19,23,Additional Reward,1500,0
1027,157,190,Additional Task,1400,0
1028,20,24,Register on APK,400,0
1029,22,26,Install App,200,0
1030,23,27,Register on App,800,0
1031,322,383,Watch Video,10,0
1032,21,25,Complete Registration,400,0
1033,15,18,Download APK,500,0
1034,18,21,Download APK,400,0
1035,9,11,Download ,400,0
1036,32,38,Additional Reward,200,0
1037,34,41,Install App,800,0
1038,34,42,Additional Reward,200,0
1039,35,43,Register on APK,400,0
1040,36,44,Install App,300,0
1041,43,53,Register on APK,300,0
1042,38,47,Additional Task,400,0
1043,37,45,Download,300,0
1044,33,39,Download,800,0
1045,33,40,Additional Reward,200,0
1046,30,35,Complete Registration,300,0
1047,27,32,Complete Registration,400,0
1048,52,63,Download ,600,0
1049,52,64,Additional Task,400,0
1050,51,62,Complete Registration,5000,0
1051,47,57,Download APK,300,0
1052,42,52,Complete Registration,500,0
1053,39,48,Complete Registration,600,0
1054,38,46,Download ,200,0
1055,31,36,Register on App,800,0
1056,24,29,Additional Task,1400,0
1057,24,28,Download ,300,0
1058,9,12,Additional Task,1000,0
1059,6,7,KYC Complete ,3500,0
1060,1016,1174,Additional Task,350,0
1061,55,67,Cashback on Score Check.,50,0
1062,56,68,Cashback on Gameplay.,50,0
1063,57,69,Register on APK,1500,0
1064,58,70,Register on APK,1500,0
1065,59,71,Register on APK,300,0
1066,60,72,Complete Registration,800,0
1067,60,73,Additional Reward,210,0
1068,61,74,Complete Registration,300,0
1069,62,76,Complete Registration,280,0
1070,63,77,Complete KYC,6000,0
1071,64,78,Download APK,500,0
1072,65,79,Download ,250,0
1073,66,81,Download APK,500,0
1074,67,82,Complete Registration,200,0
1075,68,83,Complete Registration,400,0
1076,1020,1180,Download.,200,0
1077,70,86,Download,100,0
1078,71,87,Download,50,0
1079,78,95,Download,30,0
1080,78,96,Additional Task,20,0
1081,79,97,Download,30,0
1082,79,98,Additional Task,20,0
1083,80,99,Register on APK,400,0
1084,81,100,Complete Registration,400,0
1085,65,80,Additional Task,1250,0
1086,82,101,Download ,300,0
1087,82,102,Additional Task,310,0
1088,83,104,Additional Task,400,0
1089,84,105,Download,140,0
1090,85,106,Register on APK,500,0
1091,86,107,Download,500,0
1092,87,108,Download,200,0
1093,88,109,Complete Registration,300,0
1094,253,306,Additional Task,400,0
1095,89,110,Complete Registration,280,0
1096,89,111,Additional Task,470,0
1097,90,112,Complete Registration,30,0
1098,90,113,Additional Task,20,0
1099,91,114,Complete Registration,30,0
1100,91,115,Additional Task,20,0
1101,92,116,Complete Registration,30,0
1102,92,117,Additional Task,20,0
1103,93,118,Complete Registration,30,0
1104,93,119,Additional Task,20,0
1105,94,120,Download,30,0
1106,94,121,Additional Task,20,0
1107,95,122,Complete Registration,400,0
1108,96,123,Install App,300,0
1109,97,124,Complete Registration,400,0
1110,98,125,Complete Registration,500,0
1111,99,126,Complete Registration,300,0
1112,99,127,Additional Task,300,0
1113,100,128,Complete Registration,300,0
1114,101,129,Download,300,0
1115,102,130,Terms and Conditions,200000,0
1116,103,131,Download,300,0
1117,104,133,Join the Telegram Group,0,0
1118,105,134,Join the Telegram Channel ,0,0
1119,106,135,Complete Registration,400,0
1120,107,136,Install App,500,0
1121,108,137,Download,100,0
1122,109,138,Join Free Class,500,0
1123,110,139,Complete Registration,500,0
1124,111,140,Complete Registration,200,0
1125,111,141,Additional Task,700,0
1126,112,142,Complete Registration,200,0
1127,112,143,Additional Task,600,0
1128,113,144,Complete Registration,800,0
1129,114,145,Complete Registration,300,0
1130,114,146,Additional Task,1220,0
1131,115,147,Complete Registration,800,0
1132,118,150,Complete Registration,1500,0
1133,119,151,Complete Registration,2500,0
1134,117,149,Complete Registration,400,0
1135,116,148,Open Account ,3500,0
1136,120,152,Download,200,0
1137,120,153,Additional Task,300,0
1138,121,154,Download,150,0
1139,122,155,Download,140,0
1140,123,156,Download,140,0
1141,137,172,Download,30,0
1142,137,173,Additional Task,20,0
1143,138,174,Download APK,500,0
1144,139,175,Download,200,0
1145,140,177,Additional Task,200,0
1146,143,178,Cricket Quiz,1000,0
1147,83,103,Register on APK,600,0
1148,146,180,Complete Registration,200,0
1149,146,181,Additional Task,460,0
1150,147,182,Complete Registration,500,0
1151,145,179,Register on APK,400,0
1152,1164,1343,Download.,50,0
1153,149,184,Complete Registration,300,0
1154,149,185,Additional Task,600,0
1155,154,186,Complete Registration,700,0
1156,155,187,Download ,500,0
1157,155,188,Additional Task,1000,0
1158,156,189,Register on APK,600,0
1159,157,191,Download ,400,0
1160,158,192,Complete Registration,700,0
1161,159,193,Complete Registration,400,0
1162,160,194,Download,400,0
1163,161,195,Download ,300,0
1164,161,196,Additional Task,400,0
1165,162,197,Complete Registration,5100,0
1166,163,198,Complete Registration,600,0
1167,164,199,Download,150,0
1168,165,200,Download,150,0
1169,166,201,Complete Registration,1110,0
1170,170,210,Additional Reward,200,0
1171,167,203,Download ,400,0
1172,167,204,Additional Task,310,0
1173,168,205,Download ,350,0
1174,168,206,Additional Task,1250,0
1175,169,207,Register on APK,700,0
1176,169,208,Additional Task,400,0
1177,170,209,Complete Registration,400,0
1178,171,211,Join the Telegram Channel ,100,0
1179,172,212,Complete Registration,900,0
1180,173,213,Complete Registration,300,0
1181,173,214,Additional Task,600,0
1182,174,215,Complete Registration,600,0
1183,175,216,Download,130,0
1184,175,217,Additional Task,20,0
1185,176,218,Complete Registration,700,0
1186,177,219,Complete Registration,400,0
1187,323,384,Watch Video,350,0
1188,178,220,Complete Registration,3100,0
1189,179,221,Complete Registration,400,0
1190,180,222,Download,130,0
1191,181,223,Register on APK,500,0
1192,182,224,Download,130,0
1193,182,225,Additional Task,20,0
1194,183,226,Complete Registration,300,0
1195,183,227,Additional Task,460,0
1196,184,228,Download APK,300,0
1197,185,229,Complete Registration,400,0
1198,186,230,Complete Registration,200,0
1199,1165,1344,Download.,30,0
1200,187,232,Additional Task,20,0
1201,188,233,Complete Registration,400,0
1202,189,234,Download APK,400,0
1203,190,235,Register on APK,800,0
1204,191,236,Register on APK,900,0
1205,192,237,Register on App,1000,0
1206,193,238,Register on App,900,0
1207,194,239,Register on App,1000,0
1208,195,240,Download,150,0
1209,196,241,Download,200,0
1210,197,242,Register on APK,800,0
1211,198,243,Register on APK,900,0
1212,201,246,Complete Registration,150,0
1213,200,245,Join Free Class,7500,0
1214,199,244,Join Free Class,5000,0
1215,202,247,Complete Registration,400,0
1216,203,248,Register on APK,850,0
1217,204,249,Download,200,0
1218,205,250,Complete Registration,400,0
1219,206,251,Complete Registration,500,0
1220,207,252,Download,200,0
1221,324,385,Complete Registration,20,0
1222,208,253,Complete Registration,500,0
1223,209,254,Complete Registration,600,0
1224,1019,1178,Make a Purchase,300,0
1225,211,256,Register on App,900,0
1226,212,257,Register on App,800,0
1227,213,258,Download,200,0
1228,1166,1345,Download.,280,0
1229,214,260,Additional Task,20,0
1230,217,263,Complete Registration,300,0
1231,218,264,Complete Registration,300,0
1232,219,265,Complete Registration,300,0
1233,221,266,Complete Registration,300,0
1234,220,267,Complete Registration,300,0
1235,222,268,Complete Registration,300,0
1236,223,269,Complete Registration,400,0
1237,224,270,Complete KYC,600,0
1238,225,271,Complete KYC,700,0
1239,226,272,Complete KYC,600,0
1240,227,273,Register on APK,200,0
1241,228,274,Register on APK,200,0
1242,229,275,Deposit and Play,300,0
1243,230,276,Deposit and Play,400,0
1244,231,277,Watch Video,300,0
1245,240,286,Download,200,0
1246,244,292,Download,200,0
1247,248,299,Download APK,300,0
1248,216,262,Download APK,600,0
1249,249,300,Complete Registration,300,0
1250,250,301,Complete Registration,350,0
1251,251,302,Complete Registration,100,0
1252,252,303,Complete Registration,200,0
1253,253,305,Complete Registration,250,0
1254,254,307,Complete Registration,100,0
1255,256,308,Download,200,0
1256,257,309,Register on APK,400,0
1257,258,310,Register on APK,400,0
1258,259,311,Register on APK,500,0
1259,261,313,Complete Registration,200,0
1260,261,314,Additional Task,360,0
1261,262,315,Complete Registration,250,0
1262,262,316,Additional Task,360,0
1263,263,317,Complete Registration,100,0
1264,264,318,Register on APK,400,0
1265,265,319,Register on APK,500,0
1266,266,320,Register on APK,600,0
1267,267,321,Download,150,0
1268,268,322,Download,200,0
1269,269,323,Deposit and Play,200,0
1270,270,324,Complete KYC,600,0
1271,271,325,Complete KYC,700,0
1272,272,326,Register on APK,400,0
1273,273,327,Complete Registration,250,0
1274,273,328,Additional Task,360,0
1275,274,329,Deposit and Play,300,0
1276,1172,1351,Download.,50,0
1277,275,330,Download ,300,0
1278,275,331,Additional Task,210,0
1279,276,332,Download ,350,0
1280,276,333,Additional Task,210,0
1281,277,334,Download,30,0
1282,277,335,Additional Task,20,0
1283,1168,1347,Download.,30,0
1284,278,337,Additional Task,20,0
1285,283,342,Complete Registration,200,0
1286,283,343,Additional Task,210,0
1287,284,344,Watch Video,300,0
1288,285,345,Download APK,600,0
1289,286,346,Register on APK,600,0
1290,260,312,Download,300,0
1291,287,347,Register on APK,400,0
1292,288,348,Register on APK,400,0
1293,289,349,Download,200,0
1294,290,350,Download,150,0
1295,291,351,Complete Registration,200,0
1296,292,352,Complete Registration,250,0
1297,293,353,Complete Registration,400,0
1298,295,355,KYC Complete ,500,0
1299,296,356,Complete Registration,200,0
1300,297,357,Complete Registration,200,0
1301,298,358,Complete Registration,200,0
1302,299,359,Install App,200,0
1303,300,360,Watch Video,200,0
1304,301,361,Watch Video,200,0
1305,302,362,Watch Video,200,0
1306,294,354,Watch Video,10,0
1307,303,363,Complete Registration,200,0
1308,304,364,Complete Registration,200,0
1309,305,365,Watch Video,10,0
1310,306,366,Watch Video,0,0
1311,307,367,Register and Play a Game,100,0
1312,308,368,Download APK,300,0
1313,310,370,Register on APK,300,0
1314,311,371,Register on APK,800,0
1315,309,369,Register and Play a Game,100,0
1316,312,372,Download,100,0
1317,313,373,Download,200,0
1318,315,375,Register on App,100,0
1319,314,374,Complete Registration,100,0
1320,316,376,Download APK,500,0
1321,317,377,Download,30,0
1322,317,378,Additional Task,20,0
1323,319,380,Watch Video,100,0
1324,318,379,Watch Video,0,0
1325,320,381,Complete Registration,500,0
1326,321,382,Complete Registration,1500,0
1327,325,387,Complete Registration,200,0
1328,326,388,Register on APK,200,0
1329,327,389,Download ,300,0
1330,327,390,Additional Task,1200,0
1331,328,391,Download ,350,0
1332,328,392,Additional Task,1200,0
1333,329,393,Complete Registration,400,0
1334,329,394,Additional Reward,250,0
1335,330,395,Download,30,0
1336,330,396,Additional Task,20,0
1337,331,397,Complete Registration,400,0
1338,331,398,Additional Reward,250,0
1339,332,399,Complete Registration,400,0
1340,332,400,Additional Reward,250,0
1341,333,401,Download ,200,0
1342,333,402,Additional Task,1200,0
1343,334,403,Download ,300,0
1344,334,404,Additional Task,1200,0
1345,1021,1182,Open Account,5500,0
1346,337,409,Download ,350,0
1347,337,410,Additional Task,1200,0
1348,338,412,Additional Task,20,0
1349,339,413,Complete Registration,800,0
1350,340,414,Register on APK,500,0
1351,341,415,Complete Registration,500,0
1352,342,416,Complete Registration,400,0
1353,343,417,Complete Registration,500,0
1354,343,418,Additional Task,250,0
1355,357,437,Complete Registration,400,0
1356,358,438,Complete Registration,300,0
1357,359,439,Complete Registration,300,0
1358,360,440,Complete Registration,400,0
1359,361,441,Download,200,0
1360,362,442,Open Account,600,0
1361,336,408,Additional Cashback,1200,0
1362,335,406,Additional Cashback,1200,0
1363,338,411,Cashback on Gameplay.,30,0
1364,363,443,Complete Registration,300,0
1365,365,445,Complete Registration,200,0
1366,365,446,Additional Task,250,0
1367,366,447,Download ,350,0
1368,366,448,Additional Task,400,0
1369,367,449,Complete Registration,650,0
1370,368,450,Deposit and Play,250,0
1371,364,444,Open Account,6000,0
1372,446,540,Complete Registration,800,0
1373,1022,1183,Make a Purchase,300,0
1374,472,579,Cashback on Class joining,1000,0
1375,1161,1340,Complete Registration.,200,0
1376,1162,1341,Complete Registration.,200,0
1377,1163,1342,Open Account,3500,0
1378,1167,1346,Complete Registration,500,0
1379,1169,1348,Download.,30,0
1380,1170,1349,Complete Registration.,180,0
1381,1171,1350,Open Account,5800,0
1382,1173,1352,Install App,1000,0
1383,1174,1353,Complete Deposit,70000,0
1384,1175,1354,Download,150,0
1385,1176,1355,Download ,710,0
1386,1206,1391,Complete Install,150,0
1387,1207,1392,Complete Install,200,0
1388,1208,1393,Cashback on first gameplay,500,0
1389,1209,1394,Register,750,0
1390,1210,1395,Complete Registration,100,0
1391,1211,1396,Download ,500,0
1392,1211,1397,Additional Task,2000,0
1393,1212,1398,Complete Registration,300,0
1394,1213,1399,Download,200,0
1395,1214,1400,Install,236,0
1396,1215,1401,Download,150,0
1397,1215,1402,Additional Task,500,0
1398,1216,1403,Download,150,0
1399,1217,1404,Download ,200,0
1400,1217,1405,Additional Task,1500,0
1401,1218,1406,Download,200,0
1402,1218,1407,Additional Task,400,0
1403,1219,1408,Register,210,0
1404,2220,2409,Cashback on first gameplay,1000,0
1405,2221,2410,Complete Registration.,350,0
1406,2222,2411,Install,250,0
1407,2223,2412,Install,250,0
1408,2224,2413,Complete Registration,250,0
1409,2225,2414,Cashback on first gameplay,1200,0
1410,2226,2415,Download,150,0
1411,2226,2416,Additional Task,160,0
1412,2227,2417,Complete Registration.,300,0
1413,2228,2418,Install,250,0
1414,2229,2419,Install,237,0
1415,2230,2420,Install,250,0
1416,2231,2421,Install,250,0
1417,2232,2422,Subscribe,8700,0
1418,2233,2423,Subscribe,13000,0
1419,2234,2424,Deposit and Play,500,0
1420,2235,2425,Install,250,0
1421,2236,2426,Install,250,0
1422,2237,2427,Cashback on first gameplay,1200,0
1423,2239,2429,Download,150,0
1424,2239,2430,Additional Task,600,0
1425,2238,2428,Install,700,0
1426,2240,2431,Complete Install,200,0
1427,2241,2432,Cashback on first gameplay,500,0
1428,2242,2433,Complete Registration,200,0
1429,2243,2434,Download,30,0
1430,2244,2435,Subscribe,13000,0
1431,2245,2436,Register,400,0
1432,2246,2437,Complete Registration.,700,0
1433,2247,2438,Complete Registration,200,0
1434,2962,3189,Account Open,49000,15000
1435,2248,2440,Additional Task,1750,0
1436,2249,2441,Complete Registration,500,0
1437,2250,2442,Download,250,0
1438,2251,2443,Complete Registration,300,0
1439,2252,2444,Register,600,0
1440,2253,2445,Install APK,300,0
1441,2254,2446,Make a Purchase,500,0
1442,2254,2447,Additional Task,500,0
1443,2255,2448,Download,350,0
1444,2256,2449,Register,670,0
1445,2257,2450,Upload Resume,300,0
1446,2258,2451,Install,500,0
1447,2259,2452,Make a Purchase,500,0
1448,2259,2453,Additional Task,500,0
1449,2260,2454,Register,900,0
1450,2261,2455,Download,35,0
1451,2262,2456,Download,350,0
1452,2263,2457,Complete Registration.,500,0
1453,2264,2458,Download,250,0
1454,2265,2459,Download,150,0
1455,2266,2460,Register,250,0
1456,2267,2461,Register,180,0
1457,2268,2462,Register,450,0
1458,2269,2463,Complete Install,50,0
1459,2270,2464,Complete Install,30,0
1460,2271,2465,Complete Install,30,0
1461,2272,2466,Subscribe,75000,0
1462,2273,2467,Subscribe,75000,0
1463,2274,2468,Cashback on first gameplay,400,0
1464,2275,2469,Deposit and Play,600,0
1465,2276,2470,Whatsapp Messaging - Message without contact,30,0
1466,2277,2472,Whatsapp Direct Pro- Send Whatsapp Message without Contact,30,0
1467,2278,2474,Complete Registration,200,0
1468,2279,2475,Deposit and Play,150,0
1469,2280,2476,Register,7880,0
1470,2281,2477,Download,150,0
1471,2281,2478,Additional Task,600,0
1472,2282,2479,Download,191,0
1473,2283,2480,Complete Install,200,0
1474,2284,2481,Register,895,0
1475,2285,2482,Complete Registration,300,0
1476,2286,2483,Open Account,20000,0
1477,2287,2484,Complete Install,200,0
1478,2288,2485,Complete Registration.,500,0
1479,2289,2486,Register And Deposit,7500,0
1480,2290,2487,Register and Deposit,7500,0
1481,2291,2488,Complete Install,150,0
1482,2354,2552,No contact Whatsapp chat,50,0
1483,2292,2489,Register And Deposit,5000,0
1484,2293,2490,Register and Deposit,5000,0
1485,2294,2491,Download,250,0
1486,2295,2492,Register,7180,0
1487,2296,2493,Register,250,0
1488,2297,2494,Complete Registration,300,0
1489,2298,2495,Complete Install,200,0
1490,2299,2496,Complete Registration.,500,0
1491,2300,2497,Register,1300,0
1492,2301,2498,Download,250,0
1493,3476,3666,Complete Registration,1000,4000
1494,2303,2500,Download,150,0
1495,2304,2501,Subscribe,12000,0
1496,2305,2502,Register,800,0
1497,2306,2503,Register ,800,0
1498,2307,2504,Register,15000,0
1499,2308,2505,Complete Registration,150,0
1500,2309,2506,Download,250,0
1501,2310,2507,Complete Registration,250,0
1502,2311,2508,Complete Install,350,0
1503,2312,2509,Account Open,5000,0
1504,2313,2510,Open Account,5000,0
1505,2314,2511,Download,31,0
1506,2315,2512,,200,0
1507,2316,2513,Register,575,0
1508,2317,2514,Download,400,0
1509,2318,2515,Complete Registration,400,0
1510,2319,2516,Complete Registration,450,0
1511,2320,2517,Download,200,0
1512,2321,2518,Download,31,0
1513,2322,2519,Complete Deposit,12000,0
1514,2323,2520,Download,180,0
1515,2477,2677,Download,200,0
1516,2324,2521,Register and Deposit,3000,0
1517,2325,2522,Download,420,0
1518,2326,2523,Download,60,0
1519,2327,2524,Complete Transaction,4000,0
1520,2328,2525,Complete Deposit,2000,0
1521,2329,2526,The Orange App,100,0
1522,2330,2527,Complete Deposit,40000,0
1523,2331,2528,Complete Install,200,0
1524,2332,2529,Registration.,200,0
1525,2333,2530,Complete Install,400,0
1526,2334,2531,Download,31,0
1527,2335,2532,Register,719,0
1528,2336,2533,Register,312,0
1529,2337,2534,Complete Registration,5000,0
1530,2338,2535,Download and Deposit,7000,0
1531,2338,2536,Additional Task,1500,0
1532,2339,2537,Complete Deposit,1500,0
1533,2340,2538,Download,32,0
1534,2341,2539,Complete Registration,600,0
1535,2342,2540,Complete Registration.,500,0
1536,2343,2541,Complete Install,200,0
1537,2344,2542,Complete Install,250,0
1538,2345,2543,Complete Registration,300,0
1539,2346,2544,Register,600,0
1540,2347,2545,Complete Install,30,0
1541,2348,2546,Complete Install,600,0
1542,2349,2547,Complete Registration,900,0
1543,2350,2548,Complete Install,150,0
1544,2351,2549,Download,216,0
1545,2352,2550,Complete Install,200,0
1546,2353,2551,,50,0
1547,2355,2553,Cashback on first gameplay,1200,0
1548,2356,2554,Download,31,0
1549,2357,2555,Make a Purchase,650,0
1550,2358,2556,Complete Registration,5000,0
1551,2359,2557,Download,180,0
1552,2963,3190,Complete Registration,1000,2400
1553,2361,2559,Complete Install,200,0
1554,2362,2560,Download,430,0
1555,2364,2562,Register,191,0
1556,2365,2563,Download,31,0
1557,2363,2561,Deposit and Play,4000,0
1558,2366,2564,Register,1200,0
1559,2367,2565,Play and have Fun,50,0
1560,2368,2566,Logo Quiz,30,0
1561,2369,2567,Geography Trivia,30,0
1562,2370,2568,Play and have Fun,30,0
1563,1203,1388,Complete Registration.,800,0
1564,2371,2569,Complete Registration.,500,0
1565,2372,2570,Download,2991,0
1566,2373,2571,Account Open,5000,0
1567,2374,2572,Complete Registration,1000,0
1568,2375,2573,Register,670,0
1569,2376,2574,Complete Registration,600,0
1570,2377,2575,Complete Registration,600,0
1571,2378,2576,Complete Install,200,0
1572,2379,2577,Register,1300,0
1573,2380,2578,Download,239,0
1574,2381,2579,Complete Registration,500,0
1575,2382,2580,Complete Install,150,0
1576,2383,2581,Download,200,0
1577,2384,2582,Download,240,0
1578,2385,2583,Deposit and Play,4000,0
1579,2386,2584,Download,240,0
1580,2387,2585,Complete Registration,300,0
1581,2388,2586,Complete Registration,3500,0
1582,2389,2587,Register And Deposit,4000,0
1583,2390,2588,Register and Deposit,4000,0
1584,2391,2589,Complete Registration,800,0
1585,2392,2590,Deposit and Play,500,0
1586,2393,2591,Download,15000,0
1587,2394,2592,Cashback on first gameplay,800,0
1588,2395,2593,Register,800,0
1589,2396,2594,Cashback on first gameplay,800,0
1590,2397,2595,Download,240,0
1591,2398,2596,Complete Registration,600,0
